Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Zr,ele Num,Molar volum,Bulk module,dHmix,dSmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Microstructure,FCC,BCC,IM,hv,E (GPa),,,,
AlCoCrCuMnFe,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,7,7.434285722,146.5714287,-3.777777778,14.8975162,1613.89143,5.182612846,0.137042167,7.333333333,FCC + BCC,1,1,0,448,no,,,,
CrMnCoFeNi,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,5,6.938,166,3.2,13.38,1768.954,1.033203661,0.09,8.8,FCC,1,0,0,no,202,,,,
CrFeCoNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,214,,,,
CrCoNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,235,,,,
CrFeNi,0,0,0.3333,0.3333,0.3333,0,0,0,0,0,3,6.969303,169.983,,9.13378054,1906.1427,0.265177663,0.104238248,7.9992,FCC +BCC,1,1,0,no,190,,,,
FeCoNi,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,3,6.783333327,176.6666665,-1.33,9.13,1768.999998,0.327647103,0.03,9,FCC,1,0,0,no,175,,,,
CoMnNi,0,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,3,6.869999993,159.9999998,-5.777777778,9.134370237,1671.666665,3.734682621,0.163095064,8.666666667,FCC,1,0,0,no,191,,,,
MnFeNi,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,3,7.009999993,156.6666665,-4.444444444,9.134370237,1685.999998,3.928542708,0.154344492,8.333333333,FCC,1,0,0,no,177,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,203,,,,
CoFeMnNi,0,0.25,0,0.25,0.25,0,0.25,0,0,0,4,6.925,162.5,-4,11.53,1706.5,3.551249522,0.14,8.5,FCC,1,0,0,136,no,,,,
CoFeMnNiTi0.25,0,0.2353,0,0.2353,0.2353,0,0.2353,0.0588,0,0,5,7.143442,159.413,-8.42,12.71,1720.2886,4.878301962,0.150819633,8.24,FCC,1,0,0,210,no,,,,
CoFeMnNi0.5,0,0.2857,0,0.2857,0.1428,0,0.2857,0,0,0,4,6.972179,159.983,-11.85,13.15,1703.257,3.694979638,0.145188527,8.2848,FCC + Im,1,0,1,400,no,,,,
CoFeMnNi0.75,0,0.2666,0,0.2666,0.2,0,0.2666,0,0,0,4,6.945926,161.302,-14.54,13.33,1704.7268,3.622413725,0.144201024,8.3984,FCC + Im,1,0,1,575,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC + Im,1,0,1,484,184,,,,
Al0.1CoCrFeNi,0.024390244,0.243902439,0.243902439,0.243902439,0.243902439,0,0,0,0,0,5,6.970731708,170.1463415,-5.04,12.2,1848.865122,2.303052017,0.1,8.12,FCC,1,0,0,no,203,,,,
Al0.75CoCrFeNi,0.1578,0.2105,0.2105,0.2105,0.2105,0,0,0,0,0,5,7.38359,157.2378,-10.8964062,13.33091025,1723.315066,5.300569187,0.11718985,7.4199,FCC + BCC,1,1,0,no,235,,,,
Al1.5CoCrFeNi,0.2727,0.1818,0.1818,0.1818,0.1818,0,0,0,0,0,5,7.741044,146.1672,-14.27813568,13.2534079,1615.693869,6.364891916,0.124681931,6.8175,FCC + BCC,1,1,0,no,187,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,232.8,,,,
Al2CoCrNi,0.02,0.3266,0.3266,0,0.3266,0,0,0,0,0,4,6.892034,171.352,-6.02590064,9.766084769,1872.451,2.056435842,0.11405507,8.225,FCC,1,0,0,no,222.1,,,,
"Al4CoCrNi	",0.04,0.32,0.32,0,0.32,0,0,0,0,0,4,6.9568,169.44,-7.1168,10.16479571,1853.6588,2.86482626,0.116470769,8.12,FCC,1,0,0,no,214.6,,,,
Al7CoCrNi,0.07,0.31,0.31,0,0.31,0,0,0,0,0,4,7.0519,166.52,-8.6552,10.60324639,1824.9029,3.71136793,0.119721176,7.96,FCC,1,0,0,no,210.1,,,,
Al0.5CoCrCuFeNi,0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0,0,6,7.215642,157.8024,-1.52035704,14.69653052,1692.831609,4.16942833,0.10932019,8.2719,FCC,1,0,0,no,195,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,262.2,,,,
